,Acronym,Definition
363,XMIT,"Transmitter (S,TING) Transmit"
364,XPONDER,Specification SPEC(S) Transponder
365,XWIND,Crosswind
366,ZZZ,<Airport  (Domestic)>
367,ZZZ1,<Airport>
368,ZZZZ,<Airport (Foreign)>
369,ZZZZZ,<Fix / Intersection>
370,CLRNC,Clearance
371,HDG,Heading
372,MEL,Minimum Equipment List
373,ENG,Engine
374,VERT(LY),Vertical
375,ENRTE,En Route
