Theme #,Theme,Report
2,Equipment List,Inbound flight logged 2 items- System VERT(LY) Vertical 1 FAULT DISPLAYED ON UPPER Marker-BRAKES and AUTOBRAKE FAULT DISPLAYED ON UPPER Marker SCREEN-BRAKES. Maintenance deferred the first Marker with Minimum Equipment List 32-42-03 BSCU 1 inoperative. That deferral makes a reference to the autobrake panel mode lights being inoperative and has a note FOR BSCU CHANNEL/SYSTEM 1 INOPERATIVE REFER TO Minimum Equipment List FOR Automatic/BRK PANEL MODE LIGHTS DEFERRAL. Maintenance took that reference and used it to defer the second Marker listed above (Minimum Equipment List 32-42-04). In my review of the Minimum Equipment List; once on board; I did not question the linking of the second Marker to the first Marker Minimum Equipment List; guidance that was made by Maintenance. I ASSUMED that Maintenance had specific guidance that the second Marker was a result of the loss of BSCU 1 and the autobrake panel lights; nothing more complex that had to be evaluated for compound failures. We complied with all Minimum Equipment List restrictions prior to departure to include verifying that the autobrakes were armed on the wheels SD page. Checking recall prior to departure only brought up the first Marker. No autobrake Marker or status messages were present. This furthered my belief that the maintenance issues had been addressed correctly. Taxi; takeoff and initial climb were normal. Nearing FL350 we received the same autobrake fault Marker received by the first crew. We complied with the Irregular Procedure. We determined that we had lost normal brakes but did have antiskid. Further review of the Flight Manual to include the system resets section made it apparent to me that the autobrakes Marker; while obviously related to the brake system fault Marker; was not linked to it as a secondary failure due to the lights failure. We had two separate failures; as did the inbound flight that should have been treated as such. The maintenance dispatch was improper/illegal. Trust but VERIFY everything! Careful verification of maintenance actions could have prevented this.
2,Equipment List,I dispatched a flight from MMUN. This aircraft had Minimum Equipment List 25-61-01A which is a portable ELT. This particular Minimum Equipment List states 'May be inoperative provided no Extended Overwater operations are conducted.' Under Operation Procedures for the Minimum Equipment List; it further states 'Aircraft may NOT conduct extended overwater operations; however it may be eligible for limited overwater operations. In order to comply with this Minimum Equipment List; the flight must be routed in a way so it does not exceed 30 minutes flying time in still air with one engine inoperative; or 162 Nautical Mile from the nearest  shoreline; whichever is less. I dispatched the flight. This route did not comply with the Minimum Equipment List and I; nor the flight crew; caught this error. I made the assumption that the aircraft was allowed to fly the standard route based on the fact that it had already flown with that Minimum Equipment List; and after I had spoken with the Safety Officer; confirming that it only restricted Extended Range Twin Operations operations. I did reference the Minimum Equipment List manual; but failed to read the Operations Procedures which outlines the restrictions.If it is a possibility with dispatch software; a safeguard that would prevent a flight plan from calculating if it was in violation of an Minimum Equipment List restriction would prevent this from happening in the future (much like how a flight plan will not calculate if you attempt to plan a non-overwater A/C on an overwater route). I have reason to believe that numerous people missed this restriction due to the fact that we are not Extended Range Twin Operations qualified. As a result; assumptions are made that there are no Operations Procedures; that it does not pertain to us; and they then fail to continue reading past the Minimum Equipment List to see if any action needs to be taken. Perhaps a notification can be incorporated into dispatch monitor when running a flight plan with this or similar MELs.  For example; a pack Minimum Equipment List will notify you that you must remain at a certain flight level and that there is a fuel penalty. These notifications appear on the flight summary page before taking you to the flight plan.  The note could say something along the lines of; 'Flight is restricted to limited overwater operations due Minimum Equipment List 25-61-01A.' Also for the Dispatch group; reiterate the importance of reading an Minimum Equipment List in it's entirety via training or an Ops Memo.
2,Equipment List,I was assigned to work an Minimum Equipment List on an A320 aircraft and I was supposed to change the High Pressure (HP) 10th stage bleed valve closure solenoid (4029ks). Instead I changed the HP 10th stage solenoid (4023ks); not realizing I changed the wrong solenoid because the terminology confused me. See Aircraft Maintenance Manual (AMM) figures [drawings] in Chapters 75-23-53 and Troubleshooting Manual (TSM) 36-11-00. I was working at night; outside on Pad-5 on my third night. At the same time; I was assisting a Mechanic working a 2.5 bleed actuator on the opposite motor and may have been distracted. I had changed the wrong part and re-deferred the Minimum Equipment List. Two nights later; another Mechanic was assigned the same job to fix the Minimum Equipment List; but could not locate the part in stock that I had installed incorrectly. After researching; that Mechanic found the part installed in the incorrect position. Distraction and confusion between AMM figures in 75-32-53 and TSM 36-11-00; the Minimum Equipment List was cleared during the second visit.
2,Equipment List,Early morning; received a gate call for [Air Conditioning] Pack Regulator fault. Tried to perform an Operational Check to try to reset the system; but could not get the system to reset. Contacted Maintenance Control and both of us agreed to place Pack-1 on Minimum Equipment List 21-51-01C for a Pack Regulator fault. We both missed one step of the Minimum Equipment List where it requires to also apply Minimum Equipment List 21-52-01D. The aircraft flew one flight before Minimum Equipment List 21-52-01D was applied. Lack of Communication between Myself and Maintenance Controller. We both agreed on which Minimum Equipment List to apply but failed to apply second Minimum Equipment List called for. This event happened at the end of my shift; so fatigue may have also been a factor. This event could have been prevented by being more familiar with Minimum Equipment List procedures and reviewing the Minimum Equipment List once applied.
2,Equipment List,I; Maintenance Controller; placed an Minimum Equipment List on an A321 aircraft that was in <Airport>; but our computer systems were down and could not access the full Minimum Equipment List menu due to an outage from our communications provider and was not aware the Flight Warning Computer (FWC-1) could not be MELed.  I did not have our Air Carrier's full Minimum Equipment List procedure to use. [Recommend] having a better back up [procedure] for computer failures.
2,Equipment List,Departed with an Minimum Equipment List'd Pack Flow Sensor. All Minimum Equipment List procedures were complied with. This included leaving the Hot Air p.b. switch in the OFF position. About 10 minutes after takeoff; Flight Attendant (F/A) called to say that cabin was cold. I adjusted the cabin temp selectors to a warmer position. As I monitored the cabin temp getting colder instead of warmer; I selected increasing amounts of warm temperature with no effect on the cabin temperature. A F/A called again to say the cabin was REALLY cold. By now we were level at FL310. The observed temperatures were 35 degrees F air going into the cabin with the cabin temp at 60 F and decreasing with all cockpit and cabin temp selectors selected to full hot. I initiated a call to dispatch and was patched through to maintenance to see if they had any ideas on how to fix our problem. I was told that they had nothing and that this particular Minimum Equipment List had been a problem before. In fact he added that this Minimum Equipment List should instead be an aircraft refusal. Armed with this knowledge I advised dispatcher that we would not be able to continue to [destination.] He suggested (two airports ahead of us). By now cabin temp was 54 F. [and his closest option] was still 450 miles away. I advised dispatch that my preference was for <Airport  (Domestic)>; 120 miles directly south. Dispatch said [it was] my call and; at that time; the phone patch was lost. My First Officer (F/O) got the weather for <Airport> and <Airport  (Domestic)>. <Airport  (Domestic)> weather was good but <Airport> visibility at a mile and a half. With increasing cold and discomfort on the aircraft (by now the cockpit was uncomfortably cold); I decided safest course of action was diversion to <Airport  (Domestic)> with overweight landing. Diversion was coordinated with dispatch over Automatic Communications Addressing & Reporting System and then requested with Air Traffic Control. Cabin was prepped for normal arrival. As we approached <Airport  (Domestic)>; I received message from dispatch that gate would not be available for some time. I decided to enter holding to take a little extra time to review the overweight landing procedure in the North N Quick Reference Handbook. I also called ops via Very High Frequency and found out that we had both an open gate and a mechanic standing by. With good weather; light winds; and a [very long] runway; I was confident that the overweight landing was the safest course of action. Out of extreme caution I had the F/O [advised Air Traffic Control] and asked to have the equipment standing by. We made a very uneventful landing at 149400 pounds; touching down at less than 200 Feet Per Minute. The taxi to the gate was normal. I will not take an airplane again with this Minimum Equipment List unless the flight is under an hour and then only in the summer.
2,Equipment List,During preflight; the first officer noticed on the Hydraulic Marker page that the line extending up from the blue pump was green instead of amber as it should be with no Blue System pressure. The System was otherwise indicating no pressure. We entered the discrepancy in the log book and called maintenance. The maintenance technicians were instructed by Maintenance Control to apply Minimum Equipment List 29-30-03F; Marker Hydraulic Page Indications; System Pressure.  I was uncomfortable with the validity of this Minimum Equipment List as our Flight manual indicates that system pressure is depicted by the three numerical values at the top of the Marker page only. I brought this up to the maintenance technicians who were applying the Minimum Equipment List and they said they were doing what Maintenance Control had instructed them to do and assured me that that green line was; indeed; a pressure indication. I objected and asked them to provide some form of documentation to show that this fell under the Minimum Equipment List they were applying. Maintenance Control was not willing to provide any documentation; but the technicians provided some documentation that this was a pressure indication.... Still not comfortable; I tried to call scheduling to get a number to talk to a chief pilot but sat on hold for quite some time. I also tried to look up some reference which would give me an idea of whether this Minimum Equipment List was appropriate. As we no longer have any kind of a Systems book other than the A320 training manual; which is too vague for this purpose; I was unsuccessful in that endeavor. At this point; I had nothing other than a vague recollection from my original systems training in 1996 that this was different from a system pressure; and the people whose job and responsibility it is to determine what is an appropriate Minimum Equipment List all assured me that it was correct. At this point we looked again at the Marker Hydraulic page and noticed the line had turned amber (normal). At that point; since the problem was clearly documented the fault no longer existed and we couldn't find anything excluding this fault from the Minimum Equipment List; we decided to depart.After we departed; I was still uncomfortable; so I looked again at the Minimum Equipment List for more definitive information. The one thing that I noticed is that for this Minimum Equipment List; it states that there are three installed and one may be inoperative. Because there are three numerical pressure indications at the top of the Marker page; I feel this casts some doubt on the appropriateness of this Minimum Equipment List for this particular failure.The main reason the event occurred is that the Minimum Equipment List and Flight manuals are not specific enough; in my humble opinion to determine if this is an appropriate Minimum Equipment List for the system failure being addressed. Also; I have been told things by local maintenance in the past that turned out to be not correct. I can't name a case where Maintenance Control was incorrect; but after a few experiences; I don't trust maintenance to tell me what I can and cannot fly with without clear documentation. In order to be more sure of our actions; and not delay flights with maintenance issues; we need someone we can easily and quickly contact during all operating hours; whom we trust; to discuss such issues. This is a complicated airplane and history has shown me that maintenance is not that someone.  When writing an Minimum Equipment List; it must be impossible to think of all the scenarios which may occur like this. That is; cases where it is unclear if an Minimum Equipment List is appropriate. It would be helpful in this case if a note were added to the Minimum Equipment List including or excluding the green line in question. It would also be helpful if the Flight manual labeled this green line. I was unable to find a reference anywhere describing exactly what it is....Please understand; that like most pilots at this airline; I want to operate a safe aircraft and I want to operate on time. I find ambiguity in the operation to be my large impediment to attaining this goal.
2,Equipment List,This flight is this inbound flight of an out and back trip. The Minimum Equipment List 29-24-01 was still in effect during this flight and as on the previous leg I could not complete a preflight alternate brake check accumulator check or confirm good pressure with the parking brake set. The same agencies were contacted and consulted with again and the information given to me was that the MX Check done by MX covered for my checks. No reference or procedure for crew in Minimum Equipment List 29-24-01. As before I made sure chocks and tug in place to back up parking brake until an engine was started. Incomplete Minimum Equipment List procedures led the crew to seek info and advice from other sources.
2,Equipment List,During preflight; First Officer found an approximate 3-4 ft circumference area of oil on the ground around right main landing gear. Oil also filled cement joint crack for 5-6 ft. Found substance leaking from main landing gear actuator at approximately 1 drip per second. Reported to mx and entered discrepancy into logbook. Maintenance pressurized hydraulic system. Took [the logbook] and left.Maintenance applied Minimum Equipment List to gear actuator. After reviewing; Minimum Equipment List; I re-inspected the landing gear drip. Based on my second inspection of the gear and drip; I felt the Minimum Equipment List was inappropriate to the condition of the aircraft. Specifically; the drip per minute appeared to be in excess of the amount allowed by the Minimum Equipment List. The drip rate along with the amount of fluid on the ground gave me cause for concern. The Maintenance person who returned the [logbook] told me that [maintenance control] had made the decision on the Minimum Equipment List not the crew working on the aircraft and that they did not have part to fix the aircraft. The part was in [another airport] and the aircraft was scheduled to have the part replaced when it reached [the other airport] at the end of the day. After hearing this and given; our concerns I refused the aircraft.Maintenance called [Chief Pilot]; who also inspected the aircraft and reviewed the situation with both crewmembers.
2,Equipment List,I arrived for my 4th of 4 days; XA:20 show to operate me scheduled flight. The plane had 4 MELs to begin with. The two I'll focus on are 27-XX-XX-Y. After reviewing the Minimum Equipment List; there were several people questioning whether we could even apply this specific Minimum Equipment List. The Modification (MOD) list needed to be referenced and after that was complete it came down to the word 'OR' as the aircraft had one MOD installed but not the other. After 40 minutes of discussion; the TLR was modified. If you also include the passenger medical issue requiring a paramedic sign off; you can see it was a very busy morning already. After successful engine start; we performed the first control check (not required by the Minimum Equipment List) and observed only 'pair 3' locked out. Per the sign off; the aircraft needed both sets disabled. We needed to leave the ramp for company to push. With all the General Aviation traffic the only place to go was the end of the runway. After a quick review of the Minimum Equipment List; for either a paperwork swap to one pair inoperative or for two pair inoperative; we needed a Mechanic (MX). We verified this with Maintenance Control; :25 later (can't remember exactly) we parked at the gate. Just to take a second here ... The system was 'MELed' on the 4th and flew. We're the spoilers correctly disconnected? If so; did they trouble shoot overnight and not re-comply? These two items I don't have the information for but I do know for a fact I was given the plane with a non-compliant Minimum Equipment List procedure. The flight Ops assistant met us and inquired about the situation. I gave him a quick airbus systems dissertation on why we were back at the gate. MX quickly met us and took the logbook to examine the work and why we weren't in compliance. Within: 10 or so they were back and another: 03 the new procedure was apparently completed. 'Wow I thought that was quick'. Looking at the Flight Control (F/Control) page we now had 3/4 spoilers 'X-ed' out. Even though it did not call for the next step; I insisted we do a control check prior to push. They cleared the outside and the 'visible cockpit indications' showed correct deflections. We buttoned up and pushed back; check Automatic Information System (AIS) for times. Maybe an hour late? This is the SECOND TIME we were apparently Minimum Equipment List compliant. I can't speak for what the other crew saw but as for us; everything we saw on the instruments and paperwork said we were compliant. My First Officer (First Officer  Heading HDG(S)) was flying the first leg. It was windy for our departure; rotation was normal but the coordination and turning were sloppy. Probably due to both turbulence and 1/2 of the roll spoilers gone. As we accelerated thru 12;000' and the ride calmed down thru the upper teens; we started to notice the Left Hand (LH) wing started to indicate a slight wing down indication on the Primary Flight Display (PFD). As we climbed further and transitioned to Mach; the indication continued. We changed to the #1 DFGC; at first there appeared to be some improvement but that later mimicked #2. We disconnected the autopilot and manually trimmed the plane out with the rudder. We couldn't fully right the wings. Once we leveled at FL360; we reengaged #2 and watched the PFD/F/Control indications. 2-3deg LH turn on the PFD; LH AIL outside the cruise ticks; RH AIL normal. Rudder showing a 1.7deg R deflection. We started communication via Automatic Communications Addressing & Reporting System with dispatch and MX. Over the next hour the problem continued to progress to a greater offset and more rudder correction. We tried again to disconnect and manually fly but this time there was no correction to be had. We couldn't level the wings. VERY uneasy feeling in a FBW plane that has no aileron trim installedAt our Time of Departure (Top Of Descent); the first step down; it actually felt like the plane was in a mild 'slip'. Not indicated as much but we were definitely not tracking straight. We took a conservative descent approach. The headwinds helped get us down in time. We vectored into the pattern eventually on the downwind. Everytime we turned (especially to the left) we experienced a very noticeable uncoordinated slip all the way thru the turn. These factors continued to worsen until we passed flaps 2. Then all indications flopped. Rudder inputs remained but opposite aileron and spoiler indications. At 600' we has LH AIL deflected 50-60% down; RH AIL deflected 30-40% up. ALL REMAINING spoilers on RH wing extended normal rudder indications but we were in a slip down the Glideslope (One Word). We increased speed and flew a shallow approach as we had 11;000'+ to land on. It was a positive touchdown in light winds and Visual Flight Rules conditions. We used more braking than reverse for this landing; the rollout was normal. I felt VERY uneasy and out of control while operating this airplane that I have trusted now for 2 1/2 years.When we arrived at the gate; a mechanic (as I requested) met the plane. As I began to enter as much data into the logbook; the First Officer  Heading HDG(S) sends me a picture of the LH wing ... THE LOCKED OUT #4 SPOILER IS DEFLECTED 10-15deg. This is impossible I said to myself! It's locked out electrically via SEC1 and the MX procedure should have had the existing hydraulic pressure holding it in place. We've all read the articles about spoiler float and it can present in different ways; poor rotation or extended TO run; poor handling; rumbling; etc. of which the handling was assumed; initially; to be the missing spoilers.After a very thorough search by our 'unexperienced airbus on call MX' (who worked at night on the line); we discovered the panel WAS NEVER LOCKED OUT. ONLY TWO OF THE THREE STEPS WERE FOLLOWED. This was the 3rd miss by our maintenance team. I talked in great length with 3 different dispatchers; one in training; the duty pilot and my crew about the situation and how we felt the plane may be unsafe to fly. I think what I was looking for was a 100% '... Yes this was a spoiler float event and not electrically influenced ...' We would never receive such a statement. For a large portion of the delay I was convinced I was not moving the plane anywhere. We eventually came to an agreement after several control checks; inspecting the spoilers myself and factoring in all the other 'pros' we had (long runway; Visual Flight Rules; light winds; only 142k) that we would take the plane. We planned on engaging the autopilot very early in the flight and if the wing dipped; even a bit; we were going to declare an emergency; apply the penalty and land overweight. We loaded after an extensive delay. During Engine #2 start; we experienced an IGN B failure that needed to be deferred. I'll just mention here this system has been deferred more than just once. I reluctantly say more than 10 because that may not be factual but if someone was looking at the history; I'd bet I'm not far off. I know they have replaced several parts and continue to troubleshoot but the #2 motors' initial power applications lag; and normal starts have taken 1:40. All significantly different than others but that's another story ... At times this aircraft has carried 8+ MELs at one time. This (and apparently sister ships which are both at out departure airport) are a great barrier to completing on time; reliable and predictable operations for our customers. During this delay; we needed to amend the release for fuel burn AND extend: 30 to complete our mission. At no time did the company or safety or the duty pilot or whoever just ask how we were. Look at this chain of events? It's NOT supposed to be like this. I hope I caught everything I needed to because we were definitely doing the job of SEVERAL departments this day. This was easily one of the top 5 most challenging days I've had here in all my years. The possibility of an aircraft accident was created by incomplete maintenance procedures; and the lack of possibly parts; tools; or personnel to complete either the deferral of a repair. This is supposed to be a fairly routine procedure. This incident indicates a need for properly trained maintenance technicians andsome sort of cross check being implemented for these aircraft. It highlights the need for readdressing how this company perceives its maintenance function. While maintenance may have failed to accomplish a maintenance procedure; other links in the chain held fast. A properly trained crew was able to safely fly a compromised airframe; without further damage. I hope that I have been able to convey the importance of this incident. This event points out how dangerously thin this company's resources are apparently being pulled. It's also apparent that the schedule pressured is obviously elevated at the expense of a thorough procedure. Our [company] does not enjoy the luxury of any mistake!Multiple mechanics doing every Minimum Equipment List procedure. Some system of cross checks MUST be implemented by maintenance.
2,Equipment List,During descent; aircraft displayed the following Marker: DOOR R FWD EMER EXIT. The cabin pressure was normal and the Marker actions were followed. The condition disappeared prior to landing. The day prior; the door seal of the right forward overwing emergency exit was cleaned by Maintenance after Flight Attendants (FA) reported that the emergency exit was making a loud squealing sound. Upon landing; I made a logbook entry to document the Marker received during the flight. LAS Maintenance deferred the discrepancy using Minimum Equipment List - Marker DOOR Page Indications - Over wing Emergency Exits. Upon reviewing the Minimum Equipment List; I noted that this Minimum Equipment List is Repetitive in nature. The FIRST error I observed and had corrected was that Maintenance had placed a yellow deferral sticker on the outside of the logbook vice an orange repetitive deferral sticker as required by Minimum Equipment List. The SECOND error I observed and had corrected was related to the Corrective Action block of the discrepancy in the Logbook. Under the Corrective Action there was no entry documenting that the repetitive Maintenance (Mx) actions of the deferral were complied with. And finally; when I asked Maintenance what the plan was to complete the (M) &(R) items upon landing at my next destination (non-maintenance base); they had not recognized the requirement for a repetitive (Mx) action every leg; and had not devised a plan.It seems; all to often; it is the Captain who is required to catch the errors committed by others. This As Soon As Possible report is submitted with the goal to educate Maintenance to always utilize the color X deferral sticker when appropriate.
2,Equipment List,We reported to the aircraft; reviewed the paperwork; the log book and noted Minimum Equipment List[for] Fwd Lav Deactivated. The Minimum Equipment List denotes conditional statements under Remarks or Exceptions. Specifically; one of the exceptions for this Minimum Equipment List follows:'The Pilot-in-Command will determine if the flight duration is acceptable with a FWD/Upper Deck lavatory unusable...'I had a discussion with the First Officer (First Officer  Heading HDG(S)) explaining why I believe the 'flight duration' for this Minimum Equipment List was not acceptable; giving equal weight to all points.Leaving one pilot on the flight deck for the time it would take to traverse the entire length of the aircraft presents an unnecessary risk to the safe operation of the flight. Considering our destination and the current threat level (Elevated Condition); leaving one pilot on the flight deck while the other transits the cabin creates increased exposure and an unnecessary risk to flight deck security.One of the flight attendants also expressed her concern for flight deck security having one pilot in the back of the aircraft passing through roughly 175 passengers to get to the front of the aircraft.Considering the duration of the flight; it's reasonable to expect that one of the two pilots will need to leave the flight deck at least once to address a physiological need. During flight the passengers will certainly be informed that the Fwd Lav is not usable alerting the attention of any potential 'bad actors' that an opportunity may exist. Additionally; passenger perception of flight safety is negatively impacted when a pilot leaves the flight deck to use the Fwd Lav; not to mention the Aft Lav. Simply stated; passengers don't want to see the pilots flying the airplane; in the back of the airplane...for any reason.And certainly of lesser consideration than safety and security; in the age of Social media everybody has a camera. When a pilot exits the flight deck to use the Aft Lav all the passengers will already know where he's going. I don't believe the Company would appreciate seeing this on the internet; the local news or tabloid TV.To be sure; there is no shortage of scenarios to contemplate when operating under this Minimum Equipment List provided the Pilot-in-Command takes due care to consider them. I called maintenance control to inform them of my decision. The 'flight duration' on this particular flight under this Minimum Equipment List is not acceptable. The Maintenance controller informed me that the Lav will need parts and they will not be able to make repairs.It brings no joy to my heart to have to make this decision but unfortunately for me... it's my decision alone to make. My report to Maintenance control was followed by a phone call from the Chief Pilot (CP). CP began by asking in a very direct and intimidating tone; '...if [destination] is not acceptable...what is acceptable...'. I replied that I could run the airplane up to [a nearby airport]; about a 45 minute flight. That was clearly not the right answer and CP continued with that same line of questioning; '...what is acceptable...'. CP did not seem at all interested in the reasons for my decision and I didn't try to explain my decision to him as he grew more irritated by the minute. As the discussion progressed; it became increasingly obvious to me that the only successful outcome to this conversation was to fly the airplane and accept the Minimum Equipment List; regardless of the circumstances. Needless to say; the conversation ended badly.CP said (quite emphatically) '...You have an airworthy Aircraft... (I respectfully disagreed)....effective immediately both you and the First Officer  Heading HDG(S) are off the trip.....you're both grounded.....you're not flying again until I see you at my desk for a Section 13 hearing...'. He then hung up the phone.The flight was cancelled about 30 minutes after our conversation ended and myself and the First Officer  Heading HDG(S) were provided dead head transportation back to our crew base.Over the past several years I've refused an aircraft on two separate occasions under similar circumstances. In those cases; one resulted in a reasonable delay with an Aircraft swap and the other resulted in a cockpit visit from the Assistant Chief Pilot followed by an aircraft swap. In either case; there was no punitive action; apparently that philosophy has changed.The Minimum Equipment List language has never changed.
2,Equipment List,Out of service placard for 'ALT R BRAKES RELEASED' Marker installed in aircraft. After crew inspected logbook it was noted that there were 12 prior resets by maintenance in the last 6 days for the same known issue. When maintenance showed up to the aircraft to address the write up they immediately started doing a random reset. We challenged them on this and said; 'There is a problem and the issue needs to be fixed rather than continual resets.' Mechanics agreed and started doing more troubleshooting. It was revealed that a brake servo valve was failing when the landing gear was extended. Mechanics asked if we felt comfortable flying with this condition. We said; 'Yes; but only if it could be Minimum Equipment List'd.' After further review it was determined this fault is not an item that can utilize the Minimum Equipment List. Under Marker warnings in the A320 Minimum Equipment List book it specifically states that 'ALTN L(R) FAULT' is no dispatch.Maintenance Control was notified by crew stating we were uncomfortable taking this aircraft to a domestic airport. It was suggested that we call the Chief Pilot stating our case. We then called the Chief Pilot for guidance. He said; 'As long as maintenance signs it off it is a legal aircraft.'Maintenance Control was then called back with a suggestion from us to swap with another aircraft overnighting. They said; 'No; we can't do that because we wouldn't want to send the broken aircraft to <Airport (Foreign)>. So apparently it was okay for us to take it to a domestic airport; but not <Airport (Foreign)>?At this time the 3 mechanics in <Airport  (Domestic)> consulted with each other and refused to sign off the aircraft with a computer reset; due to its past and ongoing history.Maintenance Control was notified and they now decided it was okay to swap aircraft as we had suggested earlier.Due to the time frame; flight crew was now at the flight duty period limitation. Crew scheduling called both Captain and First Officer asking for an extension. Captain and First Officer agreed to the extension.To the best of our knowledge there is no limitation for our airline's maintenance that limits the number of times a faulty system can be reset for the same Marker in a given number of days. Our contract mechanics in <Airport  (Domestic)> mentioned that they do work for another carrier also. At the other carrier a fault can only be reset X number of times in X number of days. This seems like a good policy that would apply to this given situation i.e. continuous write ups with a reset to make the problem go away only temporarily when there is obviously an underlying problem causing the Marker.
2,Equipment List,The Minimum Equipment List/CDL/NEF (Non-Essential for Flight) manual preamble allows deferral stickers to be wrapped around circuit breakers should collars not be available. This seems to be a safety concern (using adhesive material (i.e. glue from deferral placards) on an item that is designed to release/'pop') insomuch as adhesives/glue would/could serve to hinder said design function.Remove such guidance from the Minimum Equipment List and allow operation without collars for a period of time like we used to do.
2,Equipment List,We had an Minimum Equipment List restricting us to FL310. We were climbing out and there were some thunderstorms in the area and as we were going around the weather we leveled at FL300 with a bit of a bumpy ride. It was difficult to determine if we would be on top of the cell ahead and I could see that we were near the tops of the clouds visually. I asked the Captain if he could get us FL320. He said yes; requested it and we climbed to FL320. We cleared the weather and we were at FL320 for about three minutes when I realized our mistake. We then descended to FL300 and completed the flight.
2,Equipment List,Started the flight approximately 1.5 hours late due to late arrival of the aircraft. During our pre-flight; we noted the following four Minimum Equipment List's regarding outer to inner tank fuel transfer valves listed on the Release:28-15-XX (LH valve open) 28-15-YY (RH valve open)28-15-ZY (RH valve closed)28-15-ZX (LH valve closed)We assessed the situation to be that on both the Left and Right sides; one outer tank transfer valve was inop/closed and one was inop/open. Because we had questions/concerns regarding this situation; the Captain contacted [Maintenance Control] via the Dispatcher; per the guidance in FOM. We didn't really have a concern regarding safety (usable vs unusable fuel) since at least one valve per side was inop/open; but wanted to verify the validity of the seemingly conflicting (albeit balanced) Minimum Equipment List's. Even though the 'closed' Minimum Equipment List indicates that one valve is required; we were led to believe the 'inop/open' valve satisfied the intent of the required working valve. The flight was conducted as-dispatched; and operated normally; without incident. Upon arrival; the Captain contacted [Maintenance Control] for an unrelated write-up and was informed at that time that we had a possible issue regarding the application of the fuel Minimum Equipment List's. The final solution was to 'ops-check' the valve functions via circuit breaker reset/configuration checks; and clear the two 'inop/closed' Minimum Equipment List's; leaving the two 'inop/open' Minimum Equipment List's active. Perhaps an experienced maintenance lead/supervisor should double-check the validity of Minimum Equipment List's; especially when multiple related Minimum Equipment List's are applied to the same ship at the same time?
2,Equipment List,During flight plan review; we noted [an] Minimum Equipment List. Reviewing the Minimum Equipment List; we observed that it signifies inoperative Engine Driven Generator; and since 'IDG' was mentioned; we thought that IDG was disconnected. We noted that this Minimum Equipment List comes with several M; O; and DP requirements. One of them being the following maintenance requirement:Install the placards as follows: 1. On the ELEC Panel (35VU) to read: L (R) Engine IDG Inoperative.Therefore; we prepared for and briefed operation with a Single Engine Driven Generator. After engine start; we observed both engine driven generators operating normally; which was unexpected and confusing. We then contacted <Airport  (Domestic)> Station Maintenance thinking that perhaps the generator was repaired but the logbook was not updated. We were told that the Minimum Equipment List was still active; and the problem with the generator still existed; it was not repaired due to lack of parts. We asked them why the generator was operational; and not IDG disconnected or otherwise rendered inoperative as the Minimum Equipment List indicated. We were told that the problem was intermittent; so the generator was left useable. Thoroughly confused by then; we contacted Dispatch about a possible Minimum Equipment List discrepancy. We were told the same story as above; and that the aircraft already operated in the above condition the previous day.Since we were not getting anywhere with this; and not wanting to delay the departure any further; and since safety of operation was not impacted because all generators were operational - we departed for <Airport>. Nevertheless; after further review of the situation; it is my belief that either Maintenance is using this Minimum Equipment List improperly; or the Minimum Equipment List is not written clearly to address the situation as above.Based on my aviation career to this date; if a problem is observed and logbook write-up made; and then Maintenance decides to defer repairs using a Minimum Equipment List; the malfunctioning equipment is rendered inoperative and not used in flight until repaired. Our Minimum Equipment List states: 'Flight Crews will not operate any deactivated or placarded inoperative item or system.' In this situation; dispatched with Minimum Equipment List 24-XX signifies to me operation with inoperative Engine Driven Generator. And yet the generator in question was operative; and we were expected to use it. This; to me; contradicts the letter of our Minimum Equipment List. [The cause was] either incorrect usage of the Minimum Equipment List by Maintenance; or lack of Company guidance that the above described Minimum Equipment List use is indeed approved.If indeed the company and the Federal Aviation Administration approve the usage of the Minimum Equipment List as described above - when a component that faulted - and was written up - is deemed defective; and it is placed on deferral using Minimum Equipment List; but is left operational for as long as it still works - then this should be clearly stated in the Minimum Equipment List; as to preclude flight crew confusion and possible resulting flight delays or cancellations due to flight crew trying to deal with the issue. Otherwise; if faced with similar situation in the future; I will refuse the flight until the Minimum Equipment List is removed; or the component in question [is] deactivated following all the maintenance steps listed in the Minimum Equipment List.
