UMAP-1,UMAP-2,Theme #,Theme,Snippet
4.806304,1.6266996,4,Feet,INBOUND ON JANESVILLE APCH TO ORD. I REALIZED WE WERE HEARING A Center FREQ; AND IMMEDIATELY CHANGED BACK TO APCH Contro…
4.8137565,1.7817996,4,Feet,TODAY'S OCCURRENCE SEP/XX/94 IS NOT FIRST TIME PROB WITH LOUD WHINE IN FREQ 135.97 HAS BEEN NOTED WHEN DEPARTING CHICAGO…
6.435182,-0.17915182,4,Feet,ON Climb OUT; I ASKED FOR AUTOPLT #2. Captain SAID #2 WOULD NOT ENGAGE; SO HE ENGAGED AUTOPLT #1. WE DECIDED TO DO THE C…
4.8579135,1.5912519,4,Feet,THIS RPT CONCERNS PROBS WITH THE AUTOMATED; HIGHLY ENGINEERED COCKPIT ON THE A320. THIS IS THE UMPTEENTH TIME THIS HAS O…
4.2614794,-0.29417986,4,Feet,Captain (Pilot Flying) STARTED A PROFILE ING) Descent (Aircraft WAS A310-300) CLRED TO CROSS 20 MI W YQO FL280. Pilot Fl…
4.7368226,2.5179076,2,Equipment List,THE Aircraft HAD Minimum Equipment List FOR B-LOOP Engine FIRE DETECTION IN Maintenance LOGBOOK. AFTER DEP; THE First Of…
0.59728897,4.145346,3,Odor,AIRBUS PROCS HAD BEEN CHANGED ABOUT LATE JULY/XX/94 TO REQUIRE THE GENERATOR SWITCHED ON BEFORE Engine START SO THAT WHE…
6.29495,0.9834326,4,Feet,ON FINAL TO RWY 08 SJU SAW BIRD DEAD Center AT 500 Feet/Foot. ALTERED Flight PATH WITH REGARD TO HEIGHT SPD. VISUALLY MI…
0.49741638,3.908745,3,Odor,DURING PUSHBACK THE Auxiliary Power Unit QUIT -- EVERYTHING DARK -- DUMPED ALL Flight Management Computer; INERTIALS; ET…
4.8267527,1.6341047,4,Feet,THE FLEET MGRS OFFICE HAS APPARENTLY IDENTED A PROB WITH THE AMU (AUDIO MGMNT UNITS) IN OUR FLEET OF A-320. THOUGH THEY …
5.406185,-2.0751243,4,Feet,WE WERE IN CRUISE; AT FL390; AND PASSING LRP. WHEN THE COMPUTER SEQUENCED LRP; THE AUTOPLT BEGAN A TURN TO THE L EVEN TH…
6.5758996,0.5427816,4,Feet,"En Route Between CITY A AND CITY B; A COMMUTING (S,'S) Pilot SEATED IN THE MID CABIN CAME TO THE COCKPIT TO RPT THAT HE …"
4.4230237,0.047652565,4,Feet,"DSNDING INTO BOSTON ON GARDNER Arrival, Arrive. GIVEN Clearance BY ZBW TO CROSS LOBBY Intersection AT 8000 Feet/Foot 230…"
4.7636137,-0.053701397,4,Feet,IN SUM: Approximately 20 MI SE OF VKY DSNDING TO 9000 Feet/Foot. ALT CAPTURE WORKED BUT AUTOTHROTTLE HAD BEEN DISCONNECT…
4.9949975,-1.3120147,4,Feet,"ON ING) Descent CHINS 2 Arrival, Arrive; INSTRUCTED TO CROSS SNOMY AT 16000 Feet/Foot. INSERTED 16000 Feet/Foot INTO VER…"
4.451326,4.65113,2,Equipment List,A International Civil Aviation Mechanic IN DENVER CALLED AND ASKED Intermediate Fix HE CAN DEFER SEALS FOR THE MOVEABLE …
4.8643994,-2.1815224,4,Feet,Aircraft WAS DISPATCHED WITH #1 Flight Management Guidance Computer  AND AUTOPLT Inoperative. DURING ING) Descent Flight…
4.407519,-0.25827056,4,Feet,I WAS THE Captain BUT NOT FLYING AT THE TIME. Center CLRED US TO FL220 BY 10 MI N OF PHN VOR. THE First Officer  Heading…
2.8689344,5.234012,2,Equipment List,AFTER STARTING BOTH ENGS AND DURING TAXI OUT AT DTW; CREW RECEIVED AN Marker MESSAGE FOR 'ELEC TR2' FAULT. NO ELECTRONIC…
3.8101044,2.3599515,4,Feet,OUT OF 32500 Feet/Foot FOR 33000 Feet/Foot WE HEARD A LOUD BANG AND FELT A BUMP NEAR IPL. ALL INDICATIONS WERE NORMAL. C…
4.966851,0.57481164,4,Feet,ON OCT/XX/95 I WAS ASSIGNED AS THE Captain OPERATING PHL-DEN IN AN A320 AIRBUS; EQUIPPED WITH A BENDIX RDR-4B COLOR Weat…
4.937026,-2.123926,4,Feet,WHILE DEPARTING PHX ON THE DRAKE 6 DEP Flight Management Guidance Computer  System VERT(LY) Vertical FLEW UNPROGRAMMED H…
4.8255596,1.5019507,4,Feet,AFTER ALREADY CHKING ON THE APCH Control AND BEING VECTORED FOR Compass Locator At  Outer RWY 23R WE NOTICED WE WERE ABO…
5.0601153,-0.7041582,4,Feet,DURING VECTORS FOR THE Compass Locator At  Outer RWY 23R APCH AT RDU IN A320 AIRBUS THE #1 RADIO (COM) SWITCHED FREQS ON…
6.576974,0.49038064,4,Feet,WE EXPERIENCED SIGNIFICANT AIRFRAME OR Engine VIBRATION DURING ING) Descent. ING) Descent WAS 'MANAGED' AND N1'S WERE Be…
0.2832592,3.638224,3,Odor,10 MINS PRIOR TO PUSHBACK; WHITE DENSE SMOKE IN CABIN. EVACED PEOPLE OUT OF DOORS 1L AND 2L. SUSPECT Auxiliary Power Uni…
4.4532905,0.11187955,4,Feet,STABLE CRUISE Flight; AUTOPLT CONNECTED. Weather NOT A FACTOR. AUTOPLT DISCONNECTED; AUTOTHROTTLES DISCONNECTED; Flight …
7.2729797,-0.7567149,4,Feet,I DON'T BELIEVE WE DID ANYTHING WRONG. HOWEVER; WE DECLARED AN EMER AND RETURNED TO ORIGINAL DEST. AT CRUISE WE GOT MULT…
4.754846,0.05371406,4,Feet,WE WERE ON APCH TO WASHINGTON NATIONAL ARPT AT 8000 Feet/Foot Association Mean Sea Level AND JUST PASSED THE AML VOR; WH…
4.939949,0.4324632,4,Feet,WHILE OPERATING A Flight ON AN A320-232 AIRBUS; ON MAY/SAT/96 FROM ORD TO DCA WE EXPERIENCED SEVERAL OPERATIONAL DIFFICU…
5.271977,-1.7577293,4,Feet,WE SET UP FOR AN AUTOLAND ON RWY 16R AT SEA. Weather WAS GOOD Visual Flight Rules WITH WIND DOWN THE RWY AT Approximatel…
3.8922153,7.5252957,4,Feet,LOCATION: ORF. OVER ORF AT FL370. FUEL TANK TEMP MINUS 24. RIGHT OUTER TANK HAD BEEN READING ZERO QTY; INCREASED TO 4000…
6.472657,-0.6166357,4,Feet,ON DEP FROM MEM RWY 18R; AT ROTATION I EXPERIENCED A VAGUENESS OR VOID SPOT IN THE SIDE STICK Controller. THIS DIDN'T CA…
4.9307084,-2.2071455,4,Feet,A-320 GLASS COCKPIT. LOADED Flight Management Guidance Computer  CORRECTLY (BY Captain) AND VERIFIED BY SELF (First Offi…
4.3009105,7.359823,4,Feet,I DISCOVERED SIGNIFICANT DISCREPANCY Between ESTIMATED FUEL CONSUMPTION AND ACTUAL FUEL CONSUMPTION GOING BY FSD. I TRIE…
6.6425157,3.8219886,4,Feet,WHILE ON MY FIRST LEG AS A NEW A300 Captain I WAS MAKING A PROFILE ING) Descent INTO LAX. I HAD BEEN ASKED TO SLOW TO 18…
4.262911,-0.096491754,4,Feet,I HAD BEEN CLRED TO DSND AND MAINTAIN 10000 Feet/Foot; BUT DSNDED TO 9000 Feet/Foot Association Mean Sea Level. WE WERE …
4.6456575,1.9918485,4,Feet,Flight X; COMING UP A300 TO JFK; HAD TSTM TO DEVIATE Between DOWNT AND CHAMP. WE REQUESTED TURN TO 50 MI E OF COURSE JUS…
4.938942,-2.0767353,4,Feet,ON OCT/XX/96; WE WERE ASSIGNED TO FLY FROM ANC TO SFO. AS AN A320 LINE Check AIRMAN; I OCCUPIED THE R SEAT DURING THIS F…
5.3994627,-1.8575877,4,Feet,"SHORTLY AFTER REACHING CRUISE AND SELECTING Frequency FREQ(S) Inertial Navigation System Navigate, Navigation  (S,ING); …"
2.822052,5.1353235,2,Equipment List,Flight XYZ OPERATING MCO-SJU ON MAR 1997. PRIOR TO DEP AIRBUS TECHNICAL CONTACTED DISPATCH ASKING FOR APPROVAL FOR Minim…
6.7996287,3.79309,4,Feet,IN LEVEL CRUISE Flight AT FL390; Marker MESSAGE: Hydraulic B RESERVE LOW PRESSURE ACCOMPANIED BY Marker Message: Hydraul…
3.2398336,3.0912204,4,Feet,Captain THOUGHT HE VISUALLY SAW THE Aircraft LOG ON COCKPIT JUMP SEAT PRIOR TO DEP. MINOR CONFUSION IN COCKPIT FROM Pass…
4.572514,-0.3152635,4,Feet,I GENERATED AN INADVERTENT Flight PLAN DISCONTINUITY WHILE INPUTTING A Center DIRECTED ALT RESTR TO CROSS 30 NE OF ROSEW…
3.0797203,5.2778063,2,Equipment List,DEPARTED BOG WITH A PLACARDED Center OF GRAVITY Control COMPUTER WITH AN Minimum Equipment List ITEM THAT WAS NOT ON REL…
3.3476944,2.3503976,4,Feet,Aircraft ON FERRY Flight FROM FLL TO OPF. FLYING TIME LESS THAN 5 MINS. Maintenance Control TOLD US NO AIRWORTHY ITEMS W…
5.236103,-0.010193005,4,Feet,DSNDING IN MANAGED SPD; COMPUTER WAS VERY SLOW TO REDUCE OUR SPD AT 10000 Feet/Foot. I NOTICED A SPD OF Approximately 29…
4.40253,4.33909,4,Feet,PRIOR TO THE PUSHBACK AT BQN; I MADE A RADIO CALL TO SAN JUAN Center ON COM #1 TO GET OUR Instrument Flight Rules Cleara…
2.8285801,5.1434994,2,Equipment List,PRIOR TO PUSHBACK FOR A Flight FROM CMH TO EWR; TECHNICIANS WERE IN THE COCKPIT AND BLOCKED OUR ACCESS UNTIL ABOUT 15-20…
5.302386,-1.8822608,4,Feet,THE Flight WAS A SCHEDULED Passenger Flight FROM JFK TO SJU. THE Clearance WAS JFK-SHIPP-LINND-DIDLE-DOWNT-A300-DDP Nond…
4.663371,4.9819,2,Equipment List,RAMP SVC RPTED A DAMAGED PANEL. PANEL WAS A DECOMPRESSION PANEL WITH AN 8 INCH TEAR; PENETRATING HONEYCOMB. INSTALLATION…
6.9347286,4.9493456,4,Feet,AFTER TKOF; Marker MESSAGE NOSE GEAR DOOR NOT LOCKED. FOLLOWED PROCS BUT INDICATION REMAINED. CONTINUED Flight AND ATTEM…
5.3225527,-1.0286971,4,Feet,WE WERE BEING VECTORED WITH THE AUTOPLT ENGAGED FOR AN Compass Locator At  Outer APCH TO RWY 21R AT DTW. ON BASE LEG; TU…
6.2966843,3.9319944,4,Feet,Air Carrier Service A320 Aircraft ARRIVED AT <Airport  (Domestic)> WITH THE Hydraulic CARGO DOOR OPENING/CLOSING System …
4.409882,4.6370354,4,Feet,"ON DEC/XA/97; En Route YMX TO MEM; ADVISED Approximately 45 MINS - 1 (S,LY) Hour AFTER DEP BY ZOB THAT YMX (S,ED HAD FOU…"
3.5359604,2.6156187,4,Feet,JUST AS THEY FINISHED DEICING OUR Aircraft (A320) WE RECEIVED AN AFT CARGO SMOKE WARNING. THIS WARNING WAS TRIGGERED BY …
2.8689942,5.170104,2,Equipment List,THIS RPT REFERS TO NON COMPATIBLE Minimum Equipment List DEFERRALS AND WHAT PART THE Flight Crew CAN PLAY TO PREVENT OVE…
1.8033661,2.6858506,4,Feet,WE STARTED BEVERAGE SVC ON CART AND I WENT BACK TO GET COFFEE. WE HAD BAD Turbulence FROM TKOF TO THIS POINT AND AFTER R…
4.9825616,-2.1141274,4,Feet,"THE MANAGED Navigate, Navigation  (S,ING) ALTAM 6 DEP OFF OF RWY 12 IN SJC DOESN'T DUPLICATE THE COMMERCIAL CHARTS. THE …"
3.3573682,2.2404318,4,Feet,BEFORE TKOF IN CHICAGO; WHILE STILL AT THE GATE A SMOKE DETECTOR WENT OFF IN ONE OF THE LAVATORIES. Maintenance DISABLED…
5.3853183,-0.8053068,4,Feet,CLRED TO INTERCEPT Localizer FOR RWY 17L. AT TIME OF INTERCEPT; AUTOPLT DISCONNECTED AND #1 Flight DIRECTOR WAS Inoperat…
4.4354944,-0.6147686,4,Feet,Flight IN AN A300 ON APR/XA/98 OPERATING MEM/IAH/LAX. RADIOS AND INTERCOM OPERATED NORMALLY FROM BOTH SEATS PRIOR TO Arr…
1.6180187,2.2488685,4,Feet,En Route DTW-PHX; Flight ATTENDANTS ADVISED US OF A SICK Passenger IN THE BACK. THE Flight WAS DIVERTED TO ICT TO DISEMB…
4.413009,-0.24727553,4,Feet,WE DEPARTED EWR RWY 22L; First Officer  Heading HDG(S) FLYING; ON A Standard Instrument Departure. DEP Control GAVE US N…
5.411198,0.11363257,4,Feet,LEVEL FL350; First Officer  Heading HDG(S) FLYING; I WAS IN THE BACK. HE WAS GIVEN THE FOLLOWING Clearance: 'AFTER ARERO…
4.887547,1.686967,4,Feet,I WAS THE COPLT ON Flight FROM PHX TO TUS. WE WERE APCHING THE HOLD SHORT LINE FOR RWY 26L IN PHOENIX; AZ. TWR TOLD US T…
4.7941847,5.844023,2,Equipment List,Air Carrier Service HAS A Maintenance CONTRACT WITH Air Carrier Service YXY SINCE THEY GOT RID OF THEIR Maintenance. I W…
5.268798,-0.646856,4,Feet,LNDG AT SJU; VISUAL APCH RWY 10; FOR LNDG RWY 8. TWR CALLED AND SAID IT LOOKED LIKE WE WERE LNDG AT ISLA GRANDE. AT THE …
4.1528163,5.6030984,2,Equipment List,AT XA15 THIS MORNING (AUG/XY/98) I WAS SHOWN A COPY OF AN ENGINEERING CHANGE ORDER THAT I SIGNED ON SEP/XX/90. IT (ENGIN…
4.76274,0.32053378,4,Feet,DISPATCHED WITH Engine ANTI-ICE Inoperative DUE TO BLEED VALVE LOCK-OUT. ALSO LIMITED TO FL310. DEST AND En Route FORECA…
3.420432,5.029671,2,Equipment List,ON THE MORNING OF SEP/XY/98 AROUND XA00; I WAS ASSIGNED TO RELIEVE ONE OF THE MECHS WORKING THE Air Carrier Service CONT…
3.1758437,2.2168245,4,Feet,SHORTLY AFTER TKOF; Captain ANNOUNCED A MECHANICAL PROB AND THAT WE WOULD RETURN TO JFK. WE COMPLETED A MEAL/BEVERAGE SV…
4.5632925,-1.5326971,4,Feet,"AIRBUS Flight Management Computer INCOMPATIBILITY WITH SAN BARET 4 Arrival, Arrive (TNP/EED/PKE TRANSITION). THE AIRBUS …"
4.7439923,0.055837773,4,Feet,NEAR MISS; TCASII Resolution Advisory. ON FINAL APCH Compass Locator At  Outer RWY 36 AT TPA JUST INSIDE PICNY (FAF) AT …
0.65787584,1.7761633,3,Odor,"UNUSUAL ODOR RPTED TO COCKPIT BY Flight ATTENDANT. CONFIRMED BY MYSELF AND ANOTHER (S,'S) Pilot. ODOR NOT RECOGNIZED; IE…"
2.147202,4.705359,4,Feet,"Aircraft XYZ ARRIVED <Airport  (Domestic)> Approximately XA00 DEC/XA/98. (S,'S) Pilot RPTED (Navigate, Navigation  (S,IN…"
4.354926,-0.21623579,4,Feet,WE WERE DSNDING FROM FL240 AND WERE CLRED TO CROSS PVD AT 11000 Feet/Foot. 11000 Feet/Foot WAS SET IN THE ALT ALERT WIND…
5.2442517,-0.59574527,4,Feet,Air Traffic Control Clearance: CROSS FNUCH AT OR ABOVE 7000 Feet/Foot; CLRED Compass Locator At  Outer RWY 22R. Aircraft…
0.3329107,3.757282,3,Odor,LOGBOOK DISCREPANCY. I ARRIVED AT THE Aircraft Approximately 25 MINS PRIOR TO DEP AND MET THE Captain. I WAS ADVISED THA…
2.86188,5.807095,4,Feet,DURING PREFLT; NEWS OF IMPENDING PURCHASE OF OUR AIRLINE WAS ANNOUNCED. I ALLOWED MYSELF TO BECOME Distraction FROM BASI…
4.710759,0.121189274,4,Feet,"A CLRED Air Carrier Service X TO FL370. (S,'S) Pilot TOLD ME HE WOULD BE ABLE TO BE LEVEL IN 4 MINS. HE LATER AGAIN ASSU…"
7.648955,0.057669643,4,Feet,ON FINAL APCH TO <Airport  (Domestic)>; First Officer  Heading HDG(S) FLYING REQUESTED FLAP EXTENSION TO 20 DEGS. Captai…
3.2067206,3.3835878,4,Feet,AFTER ARRIVING IN SJU; WE STARTED TAXIING IN TO THE GATE; I NOTICED THAT A GALLEY COMPARTMENT WHERE THE TRASH CONTAINER …
4.227086,3.0893111,4,Feet,THIS PARTICULAR Flight WAS WT RESTR WITH A Maximum TKOF WT BASED UPON LNDG OF 354100 LBS. DUE TO AN Automatic Communicat…
4.5002437,-0.19667038,4,Feet,CLBING OUT OF EWR ON EWR 6. Aircraft ON AUTOPLT CLBING TO 6000 Feet/Foot IN PROFILE MODE TURNING TO INTERCEPT COL 350 DE…
4.678111,0.10376396,4,Feet,"WE WERE DSNDING INTO IAD ON THE JASEN 2 Arrival, Arrive; KESSEL TRANSITION AND WE WERE TOLD TO CROSS DRUZZ AT 11000 Feet…"
3.6802247,0.64912766,4,Feet,AT FL290 (30 MI WSW GCK) CREW GOT Marker WARNING 'CABPR SAFETY VALVE OPEN.' LOWER ECAS CONFIRMED SAFETY VALVE FULL OPEN;…
5.190112,-1.2547553,4,Feet,"FLEW BRADFORD 3 Arrival, Arrive TO ORD. AFTER BRADFORD; AT 11000 Feet/Foot; VECTORED TO E. HAD BRIEFED RWY 9L Compass Lo…"
7.7647133,5.092773,4,Feet,Aircraft HAD RECENT HISTORY OF NOSEWHEEL STEERING AND OTHER FAULTS. ALL LOGBOOK DISCREPANCIES WERE SIGNED OFF. FOLLOWING…
4.857711,5.8924694,4,Feet,ON APR/XA/99 Approximately XC00 HRS; I WAS ASKED BY FELLOW AMT ABC WVYY Air Carrier Service FILE #YWYW TO ASSIST HIM IN …
4.5353928,-0.14442734,4,Feet,AFTER TKOF; GEAR RETRACTION PROB WITH A LOUD BANG AND VIBRATION. Air Traffic Control WAS ADVISED THAT WE NEEDED TO TALK …
4.789708,-0.047292456,4,Feet,WE WERE AT 5000 Feet/Foot ON A VECTOR DOWNWIND FOR Compass Locator At  Outer RWY 8L AT ATL. WE WERE 8 Nautical Mile NW O…
4.2691336,3.8928044,2,Equipment List,AN OPEN LOG WRITE-UP NOT PUT IN THE LOGBOOK; BUT SENT VIA Automatic Communications Addressing & Reporting System. AFTER …
4.552692,-0.3699022,4,Feet,INADVERTENT ING) Descent BELOW ASSIGNED ALT. AT 20 Distance Measuring Equipment AUTOTHROTTLES DISCONNECTED. WHILE TROUBL…
6.3924184,3.8938432,4,Feet,Aircraft WAS PLACARDED UNDER XX-YC. THE ENTIRE SVC INTERPHONE System VERT(LY) Vertical WAS Inoperative AS WAS THE CHIME …
4.249281,-0.46796104,4,Feet,"FAILED TO MEET Crossing RESTR OF 13000 Feet/Foot AT DAWNA Intersection ON KAYOH 4 Arrival, Arrive SNA. Center Controller…"
3.0338352,2.5210383,3,Odor,ON TKOF ROLL; RIGHT BEFORE LIFTOFF; A BURNING TYPE SMELL WAS NOTICEABLE IN THE COCKPIT. AFTER WE WERE SAFELY AIRBORNE; T…
4.9022784,-0.20402952,4,Feet,DSNDING INTO TO ORLANDO (MCO); APCH CHANGED OUR RWY FROM RWY 17 TO RWY 18L AND TO EXPECT THE VISUAL. THE Captain WAS FLY…
5.6820717,2.8360343,4,Feet,I CARRIED Flight PLAN AND Weather WITH ME FROM OPS TO Aircraft PLANNING TO LOOK AT THEM THERE AND PRIOR TO DEP. UPON Arr…
3.5127337,1.7947503,3,Odor,AT 12000 Feet/Foot AND CLBING; WE EXPERIENCED A STRONG SMELL AND LIGHT SMOKE IN CABIN. WE ELECTED TO RETURN TO LAND AT M…
2.760356,5.142979,2,Equipment List,DURING A PLANE SWAP PREFLT IN LAS THE First Officer  Heading HDG(S) DISCOVERED THAT A Hydraulic Marker System VERT(LY) V…
4.385644,-0.13458534,4,Feet,WHILE NEARING FL310; IN A Climb TO FL350; Center RECLRED US TO MAINTAIN FL310. I SET FL310 IN THE FCU. THE LEAD Flight A…
3.6898324,4.5842214,2,Equipment List,DURING PREFLT; I LOOKED AT THE FRONT OF THE Aircraft LOGBOOK AND FOUND A DEFERRED Maintenance ITEM. I PUT THE LOGBOOK DO…
2.2045429,2.902435,3,Odor,Aircraft SWAP AT MTPP CAUSED EXTENSIVE DELAY TO OUR DEP. Maintenance WAS En Route FROM MIA. SOC MADE SWAP DECISION. I WA…
4.1979375,-0.36401305,4,Feet,WE WERE GIVEN A Crossing RESTR IN ING) Descent TO CROSS DANDD Intersection AT FL190; AFTER BEING REASSIGNED TO DANDD 2 S…
7.932739,0.18088855,4,Feet,DURING VISUAL APCH AT Approximately 200 Knots Indicated Airspeed; FLAPS HANDLE WAS PLACED IN Position #1 BRIEFLY AND THE…
5.9028234,-0.063654535,4,Feet,WHILE DSNDING ON AN APCH INTO EWR; WE WERE GIVEN A Crossing RESTR. WHILE ATTEMPTING TO MAKE THE Flight RESTR; THE AUTOPL…
6.7357864,-0.24982609,4,Feet,THE Aircraft HAD A PREVIOUS RUDDER WRITE-UP THAT I WAS AWARE OF. WE HAD USED THE #2 AUTOPLT ON THE FIRST LEG AND ALL WAS…
2.816308,5.0538473,2,Equipment List,Minimum Equipment List WAS CONSULTED IN <Airport  (Domestic)> REGARDING AN Inoperative MECHANICAL; HORIZ First Officer  …
1.9014323,2.6600738,3,Odor,IN CONJUNCTION WITH THE ENCLOSED RPT TO AIRLINE; THE 2 MAIN ISSUES THAT CONCERN ME AND THAT I FEEL SHOULD BE INVESTIGATE…
4.572775,4.9259,2,Equipment List,THE DOUBLER THAT WAS MANUFACTURED WAS THE SECOND DOUBLER OF ITS KIND. THE FIRST DOUBLER WAS SCRAPPED. THAT WAS THE ONE I…
4.275243,-0.2268209,4,Feet,First Officer  Heading HDG(S)'S LEG; DTW-EWR; A310; DEPARTING Approximately XA00. I WAS WORKING THE RADIOS AND BEGAN TO …
6.710396,3.788491,4,Feet,DURING CLBOUT AND ACCELERATION; THE FLAPS WERE RETRACTED ON SCHEDULE. AS THE FLAPS MOVED; WE RECEIVED AN Marker MESSAGE …
2.984053,6.1410675,3,Odor,AFTER TKOF; DURING INITIAL Climb; Flight ATTENDANT #1 NOTIFIED ME THAT THE 1L DOOR LIGHT INDICATOR HAD SENT A SIGNAL TO …
4.6121855,5.4273577,2,Equipment List,AFTER FUEL PUMP REPLACEMENT; ITEM WAS SIGNED OFF IN LOG AND ANOTHER ITEM OPENED FOR LEAK Check. ON LEAK Check; PUMP WAS …
5.2211585,-1.0816201,4,Feet,DOING A PRACTICE Area Navigation APCH IN Visual Meteorological Conditions. APCH Control CLRED US FOR BOTH THE VISUAL AND…
4.7268996,0.16726962,4,Feet,ON FEB/XA/00 WHILE FLYING AN AIRBUS ON APCH TO RWY 19R TO SNA; WE ENCOUNTERED 2 RADAR ADVISORIES WHILE BEING VECTORED DO…
4.514046,2.0240386,4,Feet,APCHING ORD AT 11000 Feet/Foot; 300 KTS; APCH Control CLRED US TO 7000 Feet/Foot. I WAS Pilot Flying AND WAS HAND FLYING…
4.2770033,-1.5734031,4,Feet,MITTS Standard Terminal Arrival Route INTO LAX; AT NIGHT IN THE RAIN; AT THE END OF A Longitude DAY. THIS Standard Termi…
4.3343863,1.2663473,4,Feet,L OUTER WINDSHIELD SHATTERED UPON TKOF. THE Captain MADE THE DECISION TO KEEP FLYING ALL THE WAY TO DEST. FLYING AT CABI…
4.574441,-0.31660604,4,Feet,FLYING Compass Locator At  Outer RWY 28L; Glideslope (One Word) Inoperative AT SFO. Weather WAS 400 Feet/Foot BROKEN AND…
3.4251423,3.8187819,2,Equipment List,THE AIRPLANE WE WERE TO FLY ARRIVED IN GEG FROM MSP. THE Flight ATTENDANT LOGBOOK HAD A WRITE-UP THAT THE LIFE VEST WAS …
5.217591,-1.7735233,4,Feet,"I WAS FLYING THE PDZ Arrival, Arrive INTO LAX. THE APCH Controller GAVE US THE Clearance TO DSND ON THE Arrival, Arrive;…"
5.0183296,-0.370205,4,Feet,DURING CRUISE WE ENCOUNTERED MOUNTAIN WAVE JUST AS AN AIRLINE B747 PASSED OVER US AT FL390. DUE TO MOUNTAIN WAVE ACTION …
5.070762,-0.4571198,4,Feet,ESTABLISHED ON Localizer RWY 01 INTO DCA. AT Approximately 18 MILES OUT WE WERE CLRED FOR THE APCH AND SELECTED 'APCH' O…
5.4093695,-0.79598796,4,Feet,"THIS (S,'S) Pilot IS STILL ON HIGH MINIMUMS ON THE A320. I'M STILL NOT EXACTLY SURE WHAT HAPPENED. 7 1/2 MI FROM DCA; CL…"
0.38380644,3.8342845,3,Odor,AFTER RECEIVING Aircraft AT GATE AND CONFERRING WITH Captain; I FOUND THAT THE Auxiliary Power Unit HAD AN ADVISORY MESS…
4.2982917,-0.3304141,4,Feet,WE WERE CLRED TO CROSS 10 Nautical Mile E OF HLI AT 12000 Feet/Foot. THE Aircraft WAS BEING FLOWN WITH AUTOPLT ENGAGED A…
3.413286,2.1985462,3,Odor,THE Captain HAD BRIEFED US BEFORE DEP THAT THE PREVIOUS CREW SMELLED SMOKE IN THE AFT GALLEY ON THEIR TKOF. AFTER WE TOO…
